year,month,day,temp_category,precip_category,cloud_cover_category,wind_speed_category,sunshine_category,state1
2020,1,28,Medium,High,Medium,High,High,Medium-High
2020,1,29,Medium,Medium,Low,High,High,Medium-Medium
2020,1,30,High,High,Medium,High,High,High-High
2020,1,31,High,Medium,High,High,Low,High-Medium
2021,1,1,Medium,Medium,High,Low,Medium,Medium-Medium
2021,1,2,Medium,Low,Medium,Low,Low,Medium-Low
2021,1,3,Medium,Medium,Medium,Medium,High,Medium-Medium
2021,1,4,Medium,High,High,Medium,Low,Medium-High
2021,1,5,Medium,Medium,High,Medium,Low,Medium-Medium
2021,1,6,Medium,Medium,High,Low,Low,Medium-Medium
2021,1,7,Low,High,High,Medium,Low,Low-High
2021,1,8,Low,High,Low,Low,Medium,Low-High
2021,1,9,Low,Medium,Low,Low,Medium,Low-Medium
2021,1,10,Low,Low,Low,Low,High,Low-Low
2021,1,11,Medium,Medium,High,High,Low,Medium-Medium
2021,1,12,Medium,High,Low,High,Medium,Medium-High
2021,1,13,Medium,Medium,Medium,Medium,High,Medium-Medium
2021,1,14,Low,Medium,High,Low,Low,Low-Medium
2021,1,15,Low,Medium,Medium,Low,Medium,Low-Medium
2021,1,16,Low,High,High,Medium,Low,Low-High
2021,1,17,Medium,High,Low,Low,Medium,Medium-High
2021,1,18,Medium,Medium,High,Medium,Medium,Medium-Medium
2021,1,19,High,High,High,High,Low,High-High
2021,1,20,High,Medium,High,High,Medium,High-Medium
2021,1,21,High,High,Medium,High,Medium,High-High
2021,1,22,Medium,High,High,Medium,Medium,Medium-High
2021,1,23,Medium,High,High,Low,Low,Medium-High
2021,1,24,Low,High,High,Medium,High,Low-High
2021,1,25,Low,High,Medium,Low,High,Low-High
2021,1,26,Medium,High,Medium,High,High,Medium-High
2021,1,27,Medium,Medium,High,Medium,Low,Medium-Medium
2021,1,28,High,High,High,Low,Low,High-High
2021,1,29,High,High,Medium,High,High,High-High
2021,1,30,Low,Medium,High,Medium,Low,Low-Medium
2021,1,31,Low,Medium,Medium,Medium,High,Low-Medium
2022,1,1,High,Low,High,Medium,Medium,High-Low
2022,1,2,High,High,Medium,High,High,High-High
2022,1,3,High,Medium,Medium,High,Medium,High-Medium
2022,1,4,High,High,High,Medium,Low,High-High
2022,1,5,Medium,High,Low,High,Medium,Medium-High
2022,1,6,Medium,Medium,Low,Medium,High,Medium-Medium
2022,1,7,Medium,High,Medium,High,Medium,Medium-High
2022,1,8,Medium,High,Medium,High,Low,Medium-High
2022,1,9,Medium,High,Low,Medium,Medium,Medium-High
2022,1,10,Low,Low,Low,Low,High,Low-Low
2022,1,11,Low,Low,High,Low,High,Low-Low
2022,1,12,Medium,Medium,Medium,Low,Medium,Medium-Medium
2022,1,13,Low,Low,Low,Low,High,Low-Low
2022,1,14,Medium,Low,Low,Low,Medium,Medium-Low
2022,1,15,Medium,Low,High,Low,Medium,Medium-Low
2022,1,16,Medium,Medium,High,Medium,Medium,Medium-Medium
2022,1,17,High,Low,Medium,Medium,Medium,High-Low
2022,1,18,Medium,Low,Medium,Low,Medium,Medium-Low
2022,1,19,Medium,Medium,Medium,Medium,Low,Medium-Medium
2022,1,20,Medium,High,Low,Medium,High,Medium-High
2022,1,21,Medium,Medium,Low,Low,Medium,Medium-Medium
2022,1,22,Medium,Low,High,Medium,Low,Medium-Low
2022,1,23,Medium,Low,High,Low,Low,Medium-Low
2022,1,24,Low,Low,Low,Low,High,Low-Low
2022,1,25,Low,Low,High,Low,Low,Low-Low
2022,1,26,Medium,Low,High,Medium,Low,Medium-Low
2022,1,27,Medium,High,Medium,High,Low,Medium-High
2022,1,28,Medium,Low,Medium,Medium,Medium,Medium-Low
2022,1,29,High,Medium,Medium,High,Low,High-Medium
2022,1,30,Medium,Low,Low,Medium,High,Medium-Low
2022,1,31,Medium,High,High,High,Low,Medium-High
2023,1,1,High,High,High,High,Medium,High-High
2023,1,2,High,High,High,High,Low,High-High
2023,1,3,High,Medium,Medium,Medium,Medium,High-Medium
2023,1,4,High,High,High,High,Low,High-High
2023,1,5,High,Medium,Medium,High,Medium,High-Medium
2023,1,6,High,Medium,Medium,High,Medium,High-Medium
2023,1,7,High,Medium,High,High,High,High-Medium
2023,1,8,High,Medium,Low,High,High,High-Medium
2023,1,9,High,High,Low,High,Medium,High-High
2023,1,10,High,High,Medium,High,Medium,High-High
2023,1,11,High,High,Medium,High,High,High-High
2023,1,12,High,High,High,High,Low,High-High
2023,1,13,High,Medium,Low,High,High,High-Medium
2023,1,14,High,High,High,High,Low,High-High
2023,1,15,High,Medium,Medium,High,High,High-Medium
2023,1,16,Medium,High,High,High,Low,Medium-High
2023,1,17,Low,High,Low,Low,High,Low-High
2023,1,18,Low,Low,Low,Medium,High,Low-Low
2023,1,19,Low,High,Low,Medium,High,Low-High
2023,1,20,Low,High,Low,Medium,Low,Low-High
2023,1,21,Low,Low,Low,Medium,Medium,Low-Low
2023,1,22,Low,Low,High,Medium,Low,Low-Low
2023,1,23,Medium,Low,High,Low,Medium,Medium-Low
2023,1,24,Low,Low,High,Low,Medium,Low-Low
2023,1,25,Low,Low,High,Low,Medium,Low-Low
2023,1,26,Medium,Medium,High,Low,Medium,Medium-Medium
2023,1,27,Medium,Low,High,Medium,Low,Medium-Low
2023,1,28,Low,Low,High,Low,Medium,Low-Low
2023,1,29,Low,Low,High,Medium,Low,Low-Low
2023,1,30,High,Medium,Low,High,High,High-Medium
2023,1,31,Medium,Medium,Low,High,Low,Medium-Medium
2024,1,1,High,High,Medium,High,High,High-High
2024,1,2,High,High,Medium,High,Low,High-High
2024,1,3,High,High,Medium,High,Medium,High-High
2024,1,4,High,High,High,Medium,Medium,High-High
2024,1,5,High,High,Medium,High,Low,High-High
2024,1,6,Medium,Medium,High,Medium,Low,Medium-Medium
2024,1,7,Low,Medium,Low,Medium,Medium,Low-Medium
2024,1,8,Low,Medium,Low,High,Medium,Low-Medium
2024,1,9,Low,Low,Low,High,High,Low-Low
2024,1,10,Low,Low,Low,Low,High,Low-Low
2024,1,11,Low,Low,Low,Low,High,Low-Low
